price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain,car_age,make_model
31721.0,8,4.0,4,0.0,14,73,6,4.0,43,5,1,1,61
44852.0,25,6.0,4,13.0,14,51,6,4.0,219,5,0,1,25
32485.0,54,4.0,4,48.0,20,52,6,4.0,33,5,0,1,26
46835.0,13,8.0,4,34.0,14,93,6,4.0,58,5,0,2,25
39370.0,30,6.0,4,0.0,14,71,6,4.0,43,5,1,1,65
45844.0,9,4.0,5,1.0,6,94,6,4.0,96,5,0,1,26
78543.0,23,6.0,4,16.0,14,128,6,4.0,172,32,1,1,68
27080.0,0,4.0,5,13.0,27,38,7,4.0,179,52,2,1,51
83940.0,49,6.0,0,6.0,27,69,5,4.0,144,5,1,1,104
48541.0,8,4.0,4,10.0,14,15,6,4.0,183,49,0,1,114
81036.0,59,6.0,0,0.0,27,69,5,4.0,223,5,1,1,104
54949.0,56,4.0,6,8.0,27,88,6,4.0,197,5,0,1,85
67562.0,49,6.0,0,13.0,27,148,5,4.0,223,8,1,1,104
58399.0,56,4.0,6,4.0,27,91,6,4.0,171,5,0,1,85
73270.0,17,4.0,5,21.0,6,48,6,4.0,48,5,0,1,81
89040.0,49,6.0,0,5.0,26,70,5,4.0,145,5,1,1,104
65175.0,18,6.0,0,0.0,27,65,5,4.0,192,41,1,1,16
20389.0,11,4.0,4,11.0,28,6,7,4.0,102,34,2,1,102
50599.0,56,4.0,6,4.0,27,87,6,4.0,171,37,0,1,85
31190.0,14,4.0,4,10.0,14,44,6,4.0,84,5,2,1,75
35404.0,9,4.0,5,10.0,6,108,6,4.0,223,5,0,1,58
35656.0,9,4.0,5,9.0,6,81,6,4.0,216,5,0,1,58
32660.0,8,4.0,4,9.0,14,73,6,4.0,43,5,1,1,61
61860.0,9,4.0,5,5.0,14,101,6,4.0,9,5,1,1,70
26600.0,33,4.0,4,15.0,29,114,6,4.0,177,15,2,1,96
37325.0,14,4.0,4,1.0,14,18,5,4.0,174,34,0,1,54
52642.0,25,6.0,4,6.0,14,75,6,4.0,43,32,1,1,63
40235.0,8,4.0,4,10.0,14,75,6,4.0,208,5,1,1,61
46835.0,13,8.0,4,5.0,14,93,6,4.0,58,5,0,2,25
42064.0,16,4.0,4,1.0,16,21,5,4.0,148,5,0,1,54
39832.0,9,4.0,5,10.0,6,75,6,4.0,67,5,0,1,58
33331.0,8,4.0,4,13.0,12,5,6,4.0,156,5,0,1,116
51835.0,9,4.0,5,33.0,6,96,6,4.0,1,5,0,1,26
44120.0,37,4.0,4,0.0,27,41,6,4.0,73,44,0,1,44
47340.0,13,8.0,4,34.0,14,93,6,4.0,58,5,0,2,25
54209.0,62,6.0,4,10.0,14,75,6,4.0,123,32,1,1,65
86505.0,81,6.0,0,49.0,27,68,5,4.0,27,5,1,1,104
48595.0,36,4.0,4,0.0,4,59,6,4.0,2,5,0,1,26
38040.0,6,4.0,4,3.0,6,55,1,2.0,195,5,3,2,86
46835.0,13,8.0,4,21.0,14,93,6,4.0,58,5,0,2,25
52567.0,62,6.0,4,246.0,14,75,6,4.0,220,32,1,1,65
47340.0,13,8.0,4,33.0,14,93,6,4.0,225,5,0,2,25
87488.0,23,6.0,4,22.0,14,128,6,4.0,172,32,1,1,67
44737.0,62,6.0,4,6.0,14,71,6,4.0,123,32,1,1,63
41995.0,16,4.0,4,1.0,16,21,5,4.0,174,5,0,1,54
38855.0,71,4.0,5,6.0,27,60,6,4.0,207,5,2,1,46
58909.0,73,4.0,4,34.0,27,150,6,4.0,187,32,1,1,64
65350.0,13,8.0,4,0.0,14,37,5,4.0,144,5,1,1,103
49411.0,66,6.0,4,6.0,27,31,6,4.0,25,32,1,1,65
50590.0,9,4.0,5,10.0,6,96,6,4.0,1,5,0,1,26
70190.0,48,8.0,0,5.0,27,64,5,4.0,59,31,1,1,17
25515.0,37,4.0,4,5.0,7,63,6,4.0,130,50,2,1,15
59542.0,66,6.0,4,10.0,27,101,6,4.0,43,5,1,1,69
53445.0,25,6.0,4,6.0,23,56,0,3.0,42,5,2,1,106
79675.0,19,6.0,0,17.0,6,68,5,4.0,145,5,1,1,103
87075.0,69,8.0,1,9.0,2,113,5,4.0,206,21,1,1,43
34799.0,4,3.0,4,3.0,14,30,6,4.0,47,27,0,1,30
67125.0,19,6.0,0,5.0,6,68,5,4.0,43,5,1,1,103
46721.0,62,6.0,4,10.0,14,71,6,4.0,123,32,1,1,65
56119.0,9,4.0,5,10.0,14,34,6,4.0,126,32,1,1,64
28193.0,8,4.0,4,4.0,14,4,6,4.0,62,5,2,1,116
58949.0,56,4.0,6,26.0,27,91,6,4.0,14,5,0,1,85
54949.0,56,4.0,6,9.0,27,88,6,4.0,14,5,0,1,85
54949.0,56,4.0,6,9.0,27,88,6,4.0,166,37,0,1,85
31042.0,6,4.0,4,5.0,28,88,7,4.0,111,34,0,1,109
34000.0,75,4.0,4,4440.0,24,52,6,4.0,4,5,0,1,26
54449.0,56,4.0,6,10.0,27,88,6,4.0,196,37,0,1,85
77885.0,13,8.0,4,105.0,0,72,5,4.0,28,9,1,1,34
31535.0,8,4.0,4,7.0,14,73,6,4.0,187,5,1,1,61
50349.0,56,4.0,6,37.0,27,87,6,4.0,117,5,0,1,85
50675.0,7,4.0,5,0.0,14,87,6,4.0,170,5,0,1,85
64516.0,81,6.0,0,14.0,27,144,5,4.0,93,5,1,1,104
36480.0,82,4.0,4,23.0,27,51,6,4.0,97,5,0,1,26
47340.0,13,8.0,4,33.0,14,93,6,4.0,225,5,0,2,25
26104.0,37,4.0,4,9.0,17,1,7,4.0,157,72,2,1,115
42790.0,9,4.0,5,10.0,6,94,6,4.0,36,5,0,1,26
46835.0,13,8.0,4,30.0,14,93,6,4.0,225,5,0,2,25
47340.0,13,8.0,4,35.0,14,93,6,4.0,225,5,0,2,25
54545.0,8,4.0,4,10.0,14,162,7,4.0,32,5,0,1,5
65774.0,19,6.0,0,13.0,6,37,5,4.0,27,5,1,1,104
34305.0,78,3.0,4,4.0,27,118,6,4.0,65,15,0,1,99
44621.0,9,4.0,5,0.0,6,96,6,4.0,158,5,0,1,26
39763.0,9,4.0,5,0.0,6,94,6,4.0,89,5,0,1,26
67237.0,59,6.0,0,6.0,27,146,5,4.0,93,8,1,1,104
36900.0,7,4.0,5,1.0,28,131,6,4.0,119,5,0,1,47
90350.0,28,6.0,4,89.0,0,75,6,4.0,200,9,1,1,31
83910.0,28,6.0,4,65.0,0,139,6,4.0,101,9,1,1,31
49944.0,10,8.0,4,2.0,27,64,5,4.0,161,41,1,1,16
32433.0,38,4.0,4,0.0,14,103,6,4.0,226,5,0,1,75
33095.0,14,4.0,4,10.0,14,120,6,4.0,74,5,2,1,75
39990.0,14,4.0,4,10.0,14,156,6,4.0,84,5,0,1,75
62145.0,8,4.0,4,19.0,23,43,6,4.0,12,27,0,1,80
48364.0,24,6.0,4,4.0,0,46,4,4.0,119,34,2,1,49
83374.0,81,6.0,0,5.0,27,76,5,4.0,71,47,1,1,103
31222.0,37,4.0,4,2.0,7,49,6,4.0,210,42,2,1,15
85845.0,31,8.0,0,2.0,0,41,5,4.0,224,41,1,1,42
30034.0,38,4.0,4,0.0,14,103,6,4.0,96,39,2,1,75
44170.0,25,6.0,4,35.0,14,93,6,4.0,225,5,0,2,25
69995.0,74,4.0,4,12.0,9,89,6,4.0,60,34,0,1,2
27554.0,37,4.0,4,7.0,17,1,7,4.0,139,72,2,1,115
45716.0,68,8.0,4,10.0,27,118,5,4.0,212,5,1,1,101
42715.0,8,4.0,4,2.0,14,115,6,4.0,28,27,0,1,29
36970.0,14,4.0,4,1.0,14,18,5,4.0,19,5,0,1,54
26329.0,8,4.0,4,25.0,14,4,7,4.0,140,5,2,1,115
30101.0,8,4.0,4,2.0,6,13,6,4.0,210,41,0,1,15
54899.0,9,4.0,5,11.0,14,34,6,4.0,187,32,1,1,64
32198.0,38,4.0,4,0.0,14,103,6,4.0,73,5,0,1,75
54585.0,68,8.0,4,10.0,27,118,5,4.0,85,5,1,1,101
35999.0,8,4.0,4,0.0,14,73,6,4.0,123,5,1,1,61
36882.0,9,4.0,5,11.0,6,108,6,4.0,226,34,0,1,58
47340.0,13,8.0,4,32.0,14,93,6,4.0,225,5,0,2,25
45055.0,79,4.0,4,25.0,31,66,6,4.0,30,62,2,1,59
69697.0,19,6.0,0,2.0,27,37,5,4.0,223,6,1,1,104
47785.0,13,8.0,4,34.0,14,93,6,4.0,58,5,0,2,25
51083.0,73,4.0,4,3.0,13,132,6,4.0,43,5,1,1,70
27400.0,33,4.0,4,15.0,29,114,6,4.0,18,15,2,1,96
52445.0,63,4.0,4,5.0,14,34,6,4.0,63,37,0,1,85
34600.0,9,4.0,5,5.0,6,38,6,4.0,226,34,0,1,58
47165.0,13,8.0,4,39.0,14,93,6,4.0,58,5,0,2,25
34084.0,55,4.0,4,12.0,14,75,6,4.0,108,5,1,1,61
